id,address,region,city,street_type,street,house,building,structure
kr25,"Красноярский край, г. Красноярск, Центральный район, ул. Ленина, д. 25",Красноярский край,Красноярск,улица,Ленина,25,,
kr26,"Красноярский край, г. Красноярск, ул. Ленина, д. 26",Красноярский край,Красноярск,улица,Ленина,26,,
closed25,"Красноярский край, г. Красноярск-45, ул. Ленина, д. 25",Красноярский край,Красноярск-45,улица,Ленина,25,,
zhel_kursk,"Курская область, г. Железногорск, ул. Ленина, д. 25",Курская область,Железногорск,улица,Ленина,25,,
zhel_kr,"Красноярский край, г. Железногорск, ул. Ленина, д. 25",Красноярский край,Железногорск,улица,Ленина,25,,
nn10,"Нижегородская область, г. Нижний Новгород, ул. Ленина, д. 10",Нижегородская область,Нижний Новгород,улица,Ленина,10,,
nn_gorky,"Нижегородская область, г. Нижний Новгород, ул. Горького, д. 10",Нижегородская область,Нижний Новгород,улица,Горького,10,,
spb5,"г. Санкт-Петербург, Невский проспект, д. 5",,Санкт-Петербург,проспект,Невский,5,,
msk_b1,"г. Москва, ул. Ленина, д. 10, корп. 1",,Москва,улица,Ленина,10,1,
msk_b2,"г. Москва, ул. Ленина, д. 10, корп. 2",,Москва,улица,Ленина,10,2,
msk_s2,"г. Москва, ул. Ленина, д. 10, стр. 2",,Москва,улица,Ленина,10,,2
msk_letter,"г. Москва, ул. Ленина, д. 10А",,Москва,улица,Ленина,10А,,
msk_slash,"г. Москва, ул. Ленина, д. 10/2",,Москва,улица,Ленина,10/2,,
msk_tver,"г. Москва, ул. Тверская, д. 7",,Москва,улица,Тверская,7,,
msk_march,"г. Москва, ул. 8 Марта, д. 12",,Москва,улица,8 Марта,12,,
msk_lenpr,"г. Москва, Ленинградский проспект, д. 7",,Москва,проспект,Ленинградский,7,,
msk_leninpr,"г. Москва, Ленинский проспект, д. 7",,Москва,проспект,Ленинский,7,,
