model,category,n,matchable_n,hitrate_at_1,pair_tp,pair_fp,pair_fn,pair_tn,pair_accuracy,pair_precision,pair_recall,pair_f1,resolution_recall,resolution_f1,coverage,decision_accuracy
baseline,ALL,25,16,0.625,7,2,3,13,0.8,0.7777777777777778,0.7,0.7368421052631577,0.4375,0.56,0.36,0.6
baseline,abbreviations,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,ambiguous_abbreviation,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline,ambiguous_building,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline,ambiguous_region,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline,building,1,1,0.0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,close_toponyms,1,1,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,conflicting_region,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline,empty,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline,historic,1,1,0.0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,historic_context,1,1,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,house_letter,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,house_slash,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,incomplete,1,1,0.0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,invalid_permutation,1,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
baseline,missing_spaces,2,2,0.0,0,1,0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
baseline,numeric_street,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,permutation,1,1,0.0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,same_city,2,2,1.0,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,street_abbreviation,1,1,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,structure,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,unknown_city,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline,unknown_city_suffix,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
baseline,unknown_house,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hybrid,ALL,25,16,1.0,16,0,0,9,1.0,1.0,1.0,1.0,1.0,1.0,0.64,1.0
hybrid,abbreviations,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,ambiguous_abbreviation,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hybrid,ambiguous_building,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hybrid,ambiguous_region,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hybrid,building,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,close_toponyms,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,conflicting_region,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hybrid,empty,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hybrid,historic,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,historic_context,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,house_letter,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,house_slash,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,incomplete,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,invalid_permutation,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hybrid,missing_spaces,2,2,1.0,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,numeric_street,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,permutation,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,same_city,2,2,1.0,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,street_abbreviation,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,structure,1,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,unknown_city,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hybrid,unknown_city_suffix,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hybrid,unknown_house,1,0,,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
