model,category,n,matchable_n,hitrate_at_1,pair_tp,pair_fp,pair_fn,pair_tn,pair_accuracy,pair_precision,pair_recall,pair_f1,resolution_recall,resolution_f1,coverage,decision_accuracy
baseline,ALL,27,27,0.9629629629629629,24,0,2,1,0.9259259259259259,1.0,0.9230769230769231,0.9600000000000001,0.8888888888888888,0.9411764705882353,0.8888888888888888,0.8888888888888888
baseline,abbreviations,4,4,1.0,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,clean,4,4,1.0,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,component_permutation,4,4,1.0,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,incomplete,4,4,0.75,2,0,1,1,0.75,1.0,0.6666666666666666,0.8,0.5,0.6666666666666666,0.5,0.5
baseline,missing_spaces,4,4,1.0,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,street_abbreviation,3,3,1.0,3,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,typo,4,4,1.0,3,0,1,0,0.75,1.0,0.75,0.8571428571428571,0.75,0.8571428571428571,0.75,0.75
hybrid,ALL,27,27,1.0,27,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,abbreviations,4,4,1.0,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,clean,4,4,1.0,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,component_permutation,4,4,1.0,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,incomplete,4,4,1.0,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,missing_spaces,4,4,1.0,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,street_abbreviation,3,3,1.0,3,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,typo,4,4,1.0,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
