model,category,n,matchable_n,hitrate_at_1,pair_tp,pair_fp,pair_fn,pair_tn,pair_accuracy,pair_precision,pair_recall,pair_f1,resolution_recall,resolution_f1,coverage,decision_accuracy
baseline,ALL,120,114,0.9736842105263158,106,4,5,5,0.925,0.9636363636363636,0.954954954954955,0.9592760180995475,0.9298245614035088,0.9464285714285715,0.9166666666666666,0.9
baseline,abbreviations,17,17,1.0,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,clean,17,17,1.0,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,component_permutation,17,17,1.0,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,incomplete,17,15,0.9333333333333333,12,0,2,3,0.8823529411764706,1.0,0.8571428571428571,0.923076923076923,0.8,0.888888888888889,0.7058823529411765,0.8235294117647058
baseline,invalid_permutation,2,0,,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
baseline,missing_spaces,17,17,0.8823529411764706,14,0,1,2,0.9411764705882353,1.0,0.9333333333333333,0.9655172413793104,0.8235294117647058,0.9032258064516129,0.8235294117647058,0.8235294117647058
baseline,street_abbreviation,16,14,1.0,14,2,0,0,0.875,0.875,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,0.875
baseline,typo,17,17,1.0,15,0,2,0,0.8823529411764706,1.0,0.8823529411764706,0.9375,0.8823529411764706,0.9375,0.8823529411764706,0.8823529411764706
hybrid,ALL,120,114,1.0,114,0,0,6,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0
hybrid,abbreviations,17,17,1.0,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,clean,17,17,1.0,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,component_permutation,17,17,1.0,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,incomplete,17,15,1.0,15,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8823529411764706,1.0
hybrid,invalid_permutation,2,0,,0,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hybrid,missing_spaces,17,17,1.0,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid,street_abbreviation,16,14,1.0,14,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0
hybrid,typo,17,17,1.0,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
